X,Y,Z
9.657139053,2.012604821,0.75
20.56512308,2.12968379,0.75
40.37017259,2.225433985,0.75
77.42636827,2.310924696,0.75
101.16971,2.340145279,0.75
0.509413801,2.012604821,0.8
0.890215085,2.143105931,0.8
1.401085526,2.239459584,0.8
2.915053063,2.399699558,0.8
5.656206448,2.555300625,0.8
8.596930867,2.653463261,0.8
18.52152609,2.807822795,0.8
33.51602651,2.915686146,0.8
65.79332247,3.046774864,0.8
100,3.124312137,0.8
0.1,2.076830597,0.85
0.178864953,2.267776522,0.85
0.422924287,2.555300625,0.85
0.756463328,2.738139962,0.85
1.417474163,2.95255366,0.85
2.337151518,3.104744761,0.85
3.721406147,3.24433352,0.85
5.994842503,3.390198164,0.85
11.63205818,3.587415671,0.85
21.79635328,3.772331105,0.85
44.82446879,3.941934425,0.85
80.175265,4.119163079,0.85
100,4.171248006,0.85
0.10116971,2.653463261,0.9
0.22834203,3.0276931,0.9
0.453487851,3.326898456,0.9
0.681292069,3.520433638,0.9
1.110336318,3.748705227,0.9
2.129525419,4.042252583,0.9
3.990341832,4.3043599,0.9
6.973235677,4.554756806,0.9
11.49756995,4.729729148,0.9
20.32735202,5.004870998,0.9
36.35850861,5.197134611,0.9
67.34150658,5.430796837,0.9
100,5.569005005,0.9
0.098843814,3.390198164,0.95
0.148496826,3.632776897,0.95
0.233715152,3.917246331,0.95
0.41320124,4.277401958,0.95
0.811130831,4.700107144,0.95
1.291549665,5.004870998,0.95
2.032735202,5.262849994,0.95
4.1320124,5.674964473,0.95
7.220809018,6.005093361,0.95
15.02338084,6.434775599,0.95
28.81349628,6.766459862,0.95
50.94138015,7.070678665,0.95
98.84381404,7.38857509,0.95
0.1,4.358786556,1
0.256502091,5.164585275,1
0.497702356,5.710730429,1
0.730527154,6.081025011,1
1.232846739,6.475330196,1
2.129525419,6.895202876,1
5.52617002,7.672409408,1
9.218207179,8.11873537,1
17.88649529,8.591025389,1
34.70595828,9.090789866,1
71.37323038,9.559379934,1
98.84381404,9.802656276,1
0.1,5.60410316,1.05
0.191791026,6.314629402,1.05
0.301854726,6.852018643,1.05
0.453487851,7.296316516,1.05
0.792482898,7.91724955,1.05
1.261856883,8.430619013,1.05
2.230924374,9.090789866,1.05
4.1320124,9.802656276,1.05
7.833203223,10.43827908,1.05
14.50828778,11.11511688,1.05
33.51602651,11.91043646,1.05
77.42636827,12.76266351,1.05
98.84381404,13.00549414,1.05
0.1,7.160084153,1.1
0.220513074,8.377818562,1.1
0.355226249,9.033854805,1.1
0.559081018,9.74126284,1.1
1.035503366,10.63688449,1.1
2.032735202,11.68805207,1.1
4.641588834,12.92404153,1.1
8.596930867,13.84879503,1.1
16.68100537,14.83971738,1.1
29.8364724,15.70298612,1.1
71.37323038,16.82658134,1.1
98.84381404,17.25480045,1.1
0.098843814,9.090789866,1.15
0.2009233,10.5040654,1.15
0.363585086,11.68805207,1.15
0.730527154,13.16994265,1.15
1.30665705,14.38080062,1.15
2.20513074,15.50690837,1.15
5.153724656,17.14673469,1.15
10.84809639,18.72322298,1.15
22.5701972,20.1893699,1.15
47.50810162,21.63397919,1.15
100,22.89248953,1.15
0.098843814,11.61485051,1.2
0.20327352,13.50510408,1.2
0.347059583,15.0273588,1.2
0.552617002,16.30622101,1.2
0.839928706,17.47297949,1.2
1.20450354,18.37363441,1.2
1.917910262,19.81240633,1.2
3.593813664,21.63397919,1.2
5.925530976,22.89248953,1.2
